experiment_name,dataset_name,model_type,fold,accuracy,precision,recall,f1,tn,fp,fn,tp
logistic_18000,18k_combined,logistic,1,1.0,1.0,1.0,1.0,1857,0,0,1743
logistic_18000,18k_combined,logistic,2,0.9305555555555556,1.0,0.8798654493032196,0.9360940695296524,1519,0,250,1831
logistic_18000,18k_combined,logistic,3,0.905,0.8893315626383356,0.9562113279390766,0.921559633027523,1249,250,92,2009
logistic_18000,18k_combined,logistic,4,1.0,1.0,1.0,1.0,1891,0,0,1709
logistic_18000,18k_combined,logistic,5,0.9305555555555556,0.8818525519848771,1.0,0.9372174786539428,1484,250,0,1866
svm_18000,18k_combined,svm,1,1.0,1.0,1.0,1.0,1857,0,0,1743
svm_18000,18k_combined,svm,2,0.9305555555555556,1.0,0.8798654493032196,0.9360940695296524,1519,0,250,1831
svm_18000,18k_combined,svm,3,0.9305555555555556,0.8936622713738834,1.0,0.9438454627133872,1249,250,0,2101
svm_18000,18k_combined,svm,4,1.0,1.0,1.0,1.0,1891,0,0,1709
svm_18000,18k_combined,svm,5,0.9305555555555556,0.8818525519848771,1.0,0.9372174786539428,1484,250,0,1866
logistic_19000_augmented,19k_augmented_payroll_fix,logistic,1,0.9921052631578947,1.0,0.9842105263157894,0.9920424403183024,1900,0,30,1870
logistic_19000_augmented,19k_augmented_payroll_fix,logistic,2,1.0,1.0,1.0,1.0,1618,0,0,2182
logistic_19000_augmented,19k_augmented_payroll_fix,logistic,3,0.9342105263157895,0.8938879456706282,1.0,0.9439713133124159,1444,250,0,2106
logistic_19000_augmented,19k_augmented_payroll_fix,logistic,4,1.0,1.0,1.0,1.0,1909,0,0,1891
logistic_19000_augmented,19k_augmented_payroll_fix,logistic,5,0.9831578947368421,1.0,0.9698255539839699,0.9846816658688368,1679,0,64,2057
svm_19000_augmented,19k_augmented_payroll_fix,svm,1,1.0,1.0,1.0,1.0,1900,0,0,1900
svm_19000_augmented,19k_augmented_payroll_fix,svm,2,1.0,1.0,1.0,1.0,1618,0,0,2182
svm_19000_augmented,19k_augmented_payroll_fix,svm,3,0.9342105263157895,0.8938879456706282,1.0,0.9439713133124159,1444,250,0,2106
svm_19000_augmented,19k_augmented_payroll_fix,svm,4,1.0,1.0,1.0,1.0,1909,0,0,1891
svm_19000_augmented,19k_augmented_payroll_fix,svm,5,1.0,1.0,1.0,1.0,1679,0,0,2121
